feature,mean_stay,mean_churn,std_mean_diff
num_service_calls,1.7182504440497335,2.1794354838709675,0.30785864870697316
num_complaints,0.6746575236320496,0.9181346893310547,0.29195523262023926
customer_satisfaction,6.2610907554626465,5.679999828338623,0.2517898678779602
late_payments,0.3914298401420959,0.4959677419354839,0.16582948817036883
has_tech_support,0.5009991119005328,0.43649193548387094,0.12901542635348887
has_online_security,0.3474689165186501,0.29536290322580644,0.10981173658624373
num_services,2.5722690941385435,2.439516129032258,0.09342989253676151
has_internet_service,0.8526865008880995,0.8205645161290323,0.08983192667301028
monthlycharges,86.40580749511719,84.41887664794922,0.06906547397375107
signup_date_days_ago,903.4561767578125,878.8941650390625,0.046387817710638046
has_device_protection,0.2967362344582593,0.2772177419354839,0.04280600180085196
has_phone_service,0.7781971580817052,0.7620967741935484,0.03865220176665774
avg_monthly_gb,39.067054748535156,40.677371978759766,0.03667241707444191
has_streaming_tv,0.6026865008880995,0.6199596774193549,0.03532320700382192
age,44.629551509769094,44.16129032258065,0.032618011821688206
annual_income,59199.05078125,58006.73828125,0.03197246044874191
senior_citizen,0.1919404973357016,0.18044354838709678,0.029257941341391203
totalcharges,1820.546630859375,1772.127197265625,0.02698628604412079
days_since_last_interaction,44.89065275310835,43.78931451612903,0.024494646279442964
credit_score,678.3184204101562,676.6873168945312,0.01866738684475422
has_streaming_movies,0.5567273534635879,0.5645161290322581,0.015680806683193244
tenure,22.239231793960922,22.361895161290324,0.006118934045186504
has_online_backup,0.43095026642984013,0.42943548387096775,0.0030588507511400812
dependents,0.7955150976909414,0.7973790322580645,0.0020818072628067197
